[Thread 0] Steal attempts: 22530, success: 1, failed: 22529
[Thread 1] Steal attempts: 19814, success: 1, failed: 19812
[Thread 2] Steal attempts: 22528, success: 0, failed: 22528
[Thread 3] Steal attempts: 22528, success: 0, failed: 22528
[Thread 4] Steal attempts: 22581, success: 8, failed: 22573
[Thread 5] Steal attempts: 22585, success: 10, failed: 22575
[Thread 6] Steal attempts: 22569, success: 9, failed: 22560
[Thread 7] Steal attempts: 22560, success: 9, failed: 22551
[Thread 8] Steal attempts: 22538, success: 3, failed: 22535
[Thread 9] Steal attempts: 22538, success: 3, failed: 22535
[Thread 10] Steal attempts: 22534, success: 2, failed: 22532
[Thread 11] Steal attempts: 22530, success: 1, failed: 22529
Time: 0.329974 sec
[Thread 0] Steal attempts: 22529, success: 1, failed: 22528
[Thread 1] Steal attempts: 22528, success: 0, failed: 22528
[Thread 2] Steal attempts: 20131, success: 1, failed: 20130
[Thread 3] Steal attempts: 22528, success: 0, failed: 22528
[Thread 4] Steal attempts: 22589, success: 9, failed: 22580
[Thread 5] Steal attempts: 22587, success: 10, failed: 22577
[Thread 6] Steal attempts: 22575, success: 10, failed: 22565
[Thread 7] Steal attempts: 22559, success: 9, failed: 22550
[Thread 8] Steal attempts: 22537, success: 3, failed: 22534
[Thread 9] Steal attempts: 22535, success: 3, failed: 22532
[Thread 10] Steal attempts: 22535, success: 2, failed: 22533
[Thread 11] Steal attempts: 22532, success: 2, failed: 22530
Time: 0.334685 sec
[Thread 0] Steal attempts: 22531, success: 1, failed: 22530
[Thread 1] Steal attempts: 22528, success: 0, failed: 22528
[Thread 2] Steal attempts: 22528, success: 0, failed: 22528
[Thread 3] Steal attempts: 14732, success: 0, failed: 14731
[Thread 4] Steal attempts: 22591, success: 9, failed: 22582
[Thread 5] Steal attempts: 22576, success: 9, failed: 22567
[Thread 6] Steal attempts: 22569, success: 9, failed: 22560
[Thread 7] Steal attempts: 22560, success: 9, failed: 22551
[Thread 8] Steal attempts: 22541, success: 4, failed: 22537
[Thread 9] Steal attempts: 22535, success: 3, failed: 22532
[Thread 10] Steal attempts: 22534, success: 2, failed: 22532
[Thread 11] Steal attempts: 22533, success: 2, failed: 22531
Time: 0.339255 sec
[Thread 0] Steal attempts: 18118, success: 1, failed: 18117
[Thread 1] Steal attempts: 22530, success: 1, failed: 22529
[Thread 2] Steal attempts: 22528, success: 0, failed: 22528
[Thread 3] Steal attempts: 22528, success: 0, failed: 22528
[Thread 4] Steal attempts: 22588, success: 9, failed: 22579
[Thread 5] Steal attempts: 22577, success: 9, failed: 22568
[Thread 6] Steal attempts: 22575, success: 10, failed: 22565
[Thread 7] Steal attempts: 22567, success: 10, failed: 22557
[Thread 8] Steal attempts: 22541, success: 4, failed: 22537
[Thread 9] Steal attempts: 22537, success: 3, failed: 22534
[Thread 10] Steal attempts: 22533, success: 2, failed: 22531
[Thread 11] Steal attempts: 22530, success: 1, failed: 22529
Time: 0.336047 sec
[Thread 0] Steal attempts: 22528, success: 0, failed: 22528
[Thread 1] Steal attempts: 22528, success: 0, failed: 22528
[Thread 2] Steal attempts: 20045, success: 0, failed: 20044
[Thread 3] Steal attempts: 22528, success: 0, failed: 22528
[Thread 4] Steal attempts: 22590, success: 9, failed: 22581
[Thread 5] Steal attempts: 22578, success: 9, failed: 22569
[Thread 6] Steal attempts: 22570, success: 9, failed: 22561
[Thread 7] Steal attempts: 22559, success: 9, failed: 22550
[Thread 8] Steal attempts: 22543, success: 4, failed: 22539
[Thread 9] Steal attempts: 22540, success: 3, failed: 22537
[Thread 10] Steal attempts: 22534, success: 2, failed: 22532
[Thread 11] Steal attempts: 22531, success: 1, failed: 22530
Time: 0.333235 sec
[Thread 0] Steal attempts: 22530, success: 1, failed: 22529
[Thread 1] Steal attempts: 20130, success: 1, failed: 20129
[Thread 2] Steal attempts: 22528, success: 0, failed: 22528
[Thread 3] Steal attempts: 22528, success: 0, failed: 22528
[Thread 4] Steal attempts: 22586, success: 9, failed: 22577
[Thread 5] Steal attempts: 22578, success: 9, failed: 22569
[Thread 6] Steal attempts: 22574, success: 10, failed: 22564
[Thread 7] Steal attempts: 22567, success: 10, failed: 22557
[Thread 8] Steal attempts: 22540, success: 4, failed: 22536
[Thread 9] Steal attempts: 22538, success: 3, failed: 22535
[Thread 10] Steal attempts: 22532, success: 2, failed: 22530
[Thread 11] Steal attempts: 22530, success: 1, failed: 22529
Time: 0.339607 sec
[Thread 0] Steal attempts: 22530, success: 1, failed: 22529
[Thread 1] Steal attempts: 22528, success: 0, failed: 22528
[Thread 2] Steal attempts: 22528, success: 0, failed: 22528
[Thread 3] Steal attempts: 22528, success: 0, failed: 22528
[Thread 4] Steal attempts: 22589, success: 9, failed: 22580
[Thread 5] Steal attempts: 22578, success: 9, failed: 22569
[Thread 6] Steal attempts: 22576, success: 10, failed: 22566
[Thread 7] Steal attempts: 22560, success: 9, failed: 22551
[Thread 8] Steal attempts: 20796, success: 4, failed: 20792
[Thread 9] Steal attempts: 22534, success: 2, failed: 22532
[Thread 10] Steal attempts: 22534, success: 2, failed: 22532
[Thread 11] Steal attempts: 22530, success: 1, failed: 22529
Time: 0.333776 sec
[Thread 0] Steal attempts: 22530, success: 1, failed: 22529
[Thread 1] Steal attempts: 22528, success: 0, failed: 22528
[Thread 2] Steal attempts: 22529, success: 1, failed: 22528
[Thread 3] Steal attempts: 14631, success: 0, failed: 14631
[Thread 4] Steal attempts: 22588, success: 9, failed: 22579
[Thread 5] Steal attempts: 22577, success: 9, failed: 22568
[Thread 6] Steal attempts: 22577, success: 10, failed: 22567
[Thread 7] Steal attempts: 22560, success: 9, failed: 22551
[Thread 8] Steal attempts: 22538, success: 3, failed: 22535
[Thread 9] Steal attempts: 22539, success: 3, failed: 22536
[Thread 10] Steal attempts: 22534, success: 2, failed: 22532
[Thread 11] Steal attempts: 22531, success: 1, failed: 22530
Time: 0.333849 sec
[Thread 0] Steal attempts: 22531, success: 1, failed: 22530
[Thread 1] Steal attempts: 22528, success: 0, failed: 22528
[Thread 2] Steal attempts: 22528, success: 0, failed: 22528
