threads       time_sec(lock-based)        time_sec(lock-free)         time_sec(lockfree-rr)        time_sec(lockfree-rr-SIMD)
1             2.901904                     3.099887                     2.567455                     0.722527                    
2             1.425210                     1.560885                     1.286397                     0.348484                    
3             0.942358                     1.077250                     0.867573                     0.239748                    
4             0.736965                     0.785715                     0.651742                     0.181175                    
5             0.591675                     0.638619                     0.534326                     0.147886                    
6             0.483657                     0.528122                     0.438266                     0.125201                    
7             0.417401                     0.460113                     0.375775                     0.110243                    
8             0.374297                     0.415680                     0.341295                     0.094142                    
9             0.376598                     0.418330                     0.350827                     0.101426                    
10            0.373010                     0.421791                     0.337237                     0.096043                    
11            0.365206                     0.420822                     0.360742                     0.098363                    
12            0.375368                     0.423257                     0.344101                     0.099798                    
13            0.368401                     0.430556                     0.341908                     0.098400                    
14            0.378772                     0.414615                     0.335719                     0.096352                    
15            0.361540                     0.417860                     0.329262                     0.099863                    
16            0.346629                     0.403378                     0.331244                     0.100017                    
